name,expr,n_vars,n_pdn,n_pun,n_common_neg,total,pdn_ok,pun_ok,complete
P1004,!b*!c*!d+!a*!b*c+c*d+b*d,4,10,7,4,25,True,True,True
P1005,a*!b*!c*!d+!a*!b*c+c*d+b*d,4,9,11,4,28,True,True,True
P1006,!a*!b*!d+c*d+b*d,4,6,10,3,22,True,True,True
P1007,!a*!b*c+c*d+b*d,4,6,5,2,15,True,True,True
P1020,!b*!c*!d+c*d+b*d,3,11,15,3,32,True,True,True
P1021,a*!b*!c*!d+c*d+b*d,4,7,9,3,22,True,True,True
P1022,!a*!b*!c*!d+c*d+b*d,4,7,7,4,22,True,True,True
P1023,c*d+b*d,3,7,,,,True,False,False
P1632,!c*!d+c*d+!a*!b+a*b,4,9,10,4,27,True,True,True
P1633,b*!c*!d+a*!c*!d+!a*!b*d+!a*!b*c+c*d+a*b,4,20,15,4,43,True,True,True
P1634,b*!c*!d+c*d+!a*!b+a*b,4,8,9,4,25,True,True,True
P1635,b*!c*!d+!a*!b*d+!a*!b*c+c*d+a*b,4,19,13,4,40,True,True,True
P1638,c*d+!a*!b+a*b,4,6,8,2,18,True,True,True
P1639,!a*!b*d+!a*!b*c+c*d+a*b,4,12,12,3,30,True,True,True
P1640,!b*!c*!d+!a*!c*!d+a*b*d+a*b*c+c*d+!a*!b,4,19,15,4,42,True,True,True
P1641,a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+a*b*c+c*d,4,,,,,False,False,False
P1642,!a*!c*!d+a*b*d+a*b*c+c*d+!a*!b,4,14,13,4,35,True,True,True
P1643,!a*b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+a*b*c+c*d,4,18,16,4,42,True,True,True
P1646,a*b*d+a*b*c+c*d+!a*!b,4,14,10,3,30,True,True,True
P1647,!a*!b*d+a*b*d+!a*!b*c+a*b*c+c*d,4,13,13,4,34,True,True,True
P1650,!a*!c*!d+!a*!b*d+c*d+a*b,4,8,9,4,25,True,True,True
P1651,b*!c*!d+!a*!b*d+c*d+a*b,4,9,9,4,26,True,True,True
P1654,!a*!b*!c+c*d+a*b,4,9,12,4,29,True,True,True
P1655,!a*!b*d+c*d+a*b,4,6,7,2,17,True,True,True
P1656,!b*!c*!d+!a*!c*!d+!a*!b*d+a*b*d+a*b*c+c*d,4,20,17,4,45,True,True,True
P1657,a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+a*b*d+a*b*c+c*d,4,18,16,4,42,True,True,True
P1658,!a*!c*!d+!a*!b*d+a*b*d+a*b*c+c*d,4,12,12,4,32,True,True,True
P1659,!a*b*!c*!d+!a*!b*d+a*b*d+a*b*c+c*d,4,18,11,4,37,True,True,True
P1662,a*b*d+!a*!b*!c+a*b*c+c*d,4,11,9,3,26,True,True,True
P1663,!a*!b*d+a*b*d+a*b*c+c*d,4,10,10,2,24,True,True,True
P1664,a*b*!c+!b*!d+!a*!d+c*d+!a*!b,4,11,13,4,32,True,True,True
P1665,a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d+!b*c,4,19,11,4,38,True,True,True
P1666,a*b*!c+!a*!d+c*d+!b*c+!a*!b,4,12,15,4,35,True,True,True
P1667,b*!c*!d+!a*!b*d+a*b*d+!b*c+!a*c,4,10,12,4,30,True,True,True
P1670,a*b*!c+c*d+!b*c+!a*c+!a*!b,4,9,11,3,26,True,True,True
P1671,!a*!b*d+a*b*!c+c*d+!b*c+!a*c,4,11,11,3,28,True,True,True
P1672,a*b*d+!b*!d+!a*!d+c*d+!a*!b,4,9,13,3,28,True,True,True
P1673,a*!b*!d+!a*b*!d+!a*!b*d+a*b*d+c*d+!b*c,4,15,10,3,31,True,True,True
P1674,a*b*d+!a*!d+c*d+!b*c+!a*!b,4,10,8,3,24,True,True,True
P1675,!a*b*!d+!a*!b*d+a*b*d+c*d+!b*c,4,11,11,3,28,True,True,True
P1678,a*b*d+!b*c+!a*c+!a*!b,4,11,7,2,22,True,True,True
P1679,!a*!b*d+a*b*d+!b*c+!a*c,4,8,7,2,19,True,True,True
P1680,!a*!b*d+a*b*d+a*!b*c+!a*b*c+!c*!d,4,11,10,4,29,True,True,True
P1681,a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+a*!b*c+c*d,4,10,14,4,32,True,True,True
P1682,!a*!c*!d+!a*!b*d+a*b*!c+a*!b*c+!a*b*c+c*d,4,13,11,4,32,True,True,True
P1683,b*!c*!d+!a*!b*d+a*b*d+a*!b*c+!a*b*c,4,10,11,4,29,True,True,True
P1686,!a*!b*!c+a*b*!c+a*!b*c+!a*b*c+c*d,4,13,9,3,28,True,True,True
P1687,!a*!b*d+a*b*!c+a*!b*c+!a*b*c+c*d,4,13,9,3,28,True,True,True
P1688,!b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+a*!b*c+c*d,4,14,11,4,33,True,True,True
P1689,a*!b*!d+!a*b*!d+!a*!b*d+a*b*d+c*d,4,9,10,3,25,True,True,True
P1690,!a*!c*!d+!a*!b*d+a*b*d+a*!b*c+!a*b*c,4,15,11,4,34,True,True,True
P1691,!a*b*!d+!a*!b*d+a*b*d+a*!b*c+c*d,4,10,10,3,26,True,True,True
P1694,a*b*d+!a*!b*!c+a*!b*c+!a*b*c+c*d,4,15,9,3,30,True,True,True
P1695,!a*!b*d+a*b*d+a*!b*c+!a*b*c,4,11,10,2,25,True,True,True
P1696,a*b*d+!c*!d+!a*!d+c*d+!a*!b,4,9,10,4,27,True,True,True
P1697,a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d+!a*c,4,17,10,4,35,True,True,True
P1698,a*b*!c+!a*!d+c*d+!a*!b,4,12,9,4,29,True,True,True
P1699,b*!c*!d+!a*!b*d+a*b*d+c*d+!a*c,4,12,11,4,31,True,True,True
P1700,a*!c*!d+a*b*d+c*d+!a*c+!a*!b,4,9,14,4,31,True,True,True
P1701,a*!c*!d+!a*!b*d+a*b*d+c*d+!a*c,4,18,10,4,36,True,True,True
